site_code,Taxon,NewTaxon,Notes,Reason,NewFamily,Omit,Apply
hopl.us,TRIFOLIUM DUBIUM,TRIFOLIUM SP.,,,,No,Yes
hopl.us,TRIFOLIUM GRACILENTUM,TRIFOLIUM SP.,,,,No,Yes
hopl.us,TRIFOLIUM MICROCEPHALUM,TRIFOLIUM SP.,,,,No,Yes
hopl.us,TRIFOLIUM WILLDENOVII,TRIFOLIUM SP.,,,,No,Yes
hopl.us,VICIA AMERICANA,VICIA SATIVA,,,,No,Yes
hopl.us,VICIA SP.,VICIA SATIVA,,,,No,Yes
hopl.us,CLARKIA SP.,CLARKIA PURPUREA,,,,No,Yes
hopl.us,AEGILOPS SP.,AEGILOPS TRIUNCIALIS,,,,No,Yes
hopl.us,AVENA FATUA,AVENA BARBATA,,,,No,Yes
hopl.us,CRATAEGUS SP.,CRATAEGUS DOUGLASII,,,,No,Yes
hopl.us,GALIUM APARINE,GALIUM SP.,,,,No,Yes
hopl.us,GALIUM PARISIENSE,GALIUM SP.,,,,No,Yes
hopl.us,UNKNOWN ASTERACEAE SP.,MADIA SP.,,assign to dominant taxon in Family,,No,Yes
hopl.us,UNKNOWN LILIACEAE,CALOCHORTUS VENUSTUS,,assign to dominant taxon in Family,,No,Yes
jena.de,,,no changes,no changes,,Yes,No
kbs.us,UNKNOWN ASTERACEAE,SOLIDAGO CANADENSIS,,assign to dominant taxon in Family,,No,Yes
kbs.us,UNKNOWN BRASSICACEAE,BARBAREA VULGARIS,,assign to dominant taxon in Family,,No,Yes
kbs.us,MELILOTUS OFFICINALIS SSP. ALBA,MELILOTUS OFFICINALIS,,Aggregate at species level,,No,Yes
kbs.us,MELILOTUS SP.,MELILOTUS OFFICINALIS,,,,No,Yes
kbs.us,TRIFOLIUM,TRIFOLIUM REPENS,,,,No,Yes
kbs.us,UNKNOWN PTERIDOPHYTA,ASPLENIUM PLATYNEURON,assign to dominant taxon in Family,assign to dominant taxon in Family,Aspleniaceae,No,Yes
kbs.us,SETARIA SP.,SETARIA PUMILA,,,,No,Yes
kbs.us,UNKNOWN GRASS,ARRHENATHERUM ELATIUS,,,,No,Yes
kbs.us,ACER SP.,ACER NEGUNDO,,,,No,Yes
kbs.us,VITIS SP. (kbs.us),VITIS SP.,,global taxon name,,No,Yes
kibber.in,UNKNOWN GRASS SP.,ELYMUS LONGIARISTATUS,,,,No,Yes
kibber.in,POLYGONUM AVICULARE,POLYGONUM SP.,,,,No,Yes
kilp.fi,LEONTODON AUTUMNALIS var. TARAXACI,SCORZONEROIDES AUTUMNALIS,,,,No,Yes
kilp.fi,EMPETRUM NIGRUM SSP. HERMAPHRODITUM,EMPETRUM NIGRUM,,Aggregate at species level,,No,Yes
kilp.fi,RANUNCULUS ACRIS SSP. PUMILUS,RANUNCULUS ACRIS,,Aggregate at species level,,No,Yes
kiny.au,ARTHROPODIUM SP.,ARTHROPODIUM MINUS,,,,No,Yes
kiny.au,ATRIPLEX SP.,ATRIPLEX SEMIBACCATA,,,,No,Yes
kiny.au,MAIREANA SP.,MAIREANA ENCHYLAENOIDES,,,,No,Yes
kiny.au,RHODANTHE SP.,RHODANTHE CORYMBIFLORA,,,,No,Yes
kiny.au,SONCHUS SP.,SONCHUS OLERACEUS,,,,No,Yes
kiny.au,SONCHUS ASPER,SONCHUS OLERACEUS,,,,No,Yes
kiny.au,CRASSULA SP.,CRASSULA SIEBERIANA,,,,No,Yes
kiny.au,TRIFOLIUM ,TRIFOLIUM SP.,,,,No,Yes
kiny.au,TRIFOLIUM DUBIUM,TRIFOLIUM SP.,,,,No,Yes
kiny.au,TRIFOLIUM GLOMERATUM,TRIFOLIUM SP.,,,,No,Yes
kiny.au,TRIFOLIUM ARVENSE,TRIFOLIUM SP.,,,,No,Yes
kiny.au,AVENA SP.,AVENA BARBATA,,,,No,Yes
kiny.au,AVENA FATUA,AVENA BARBATA,,,,No,Yes
kiny.au,BROMUS SP.,BROMUS RUBENS,,,,No,Yes
kiny.au,LOLIUM PERENNE,LOLIUM SP.,,,,No,Yes
kiny.au,LOLIUM RIGIDUM,LOLIUM SP.,,,,No,Yes
kiny.au,RYTIDOSPERMA ,RYTIDOSPERMA SP.,,Spelling,,No,Yes
kiny.au,VULPIA SP.,VULPIA BROMOIDES,,,,No,Yes
kiny.au,UNKNOWN ASTERACEAE ,SONCHUS OLERACEUS,,assign to dominant taxon in Family,,No,Yes
kiny.au,UNKNOWN GRASS,RYTIDOSPERMA SP.,,assign to dominant taxon in Family,,No,Yes
koffler.ca,UNKNOWN ASTERACEAE ,SOLIDAGO ALTISSIMA,,assign to dominant taxon of Family,,No,Yes
koffler.ca,CAREX SP.,CAREX PLANTAGINEA,,Inconsistent identification across years,,No,Yes
koffler.ca,UNKNOWN CYPERACEAE SP.,CAREX PLANTAGINEA,,Inconsistent identification across years,,No,Yes
koffler.ca,UNKNOWN ROSACEAE ,PRUNUS SP.,,assign to dominant taxon of Family,,No,Yes
koffler.ca,GALIUM SP. (koffler.ca),GALIUM SP.,,global taxon name,,No,Yes
konz.us,EUPHORBIA SERPENS,EUPHORBIA NUTANS,,,,No,Yes
konz.us,MUHLENBERGIA CUSPIDATA,MUHLENBERGIA RACEMOSA,,,,No,Yes
lagoas.br,POLICARPAEA CORYMBOSA,POLYCARPAEA CORYMBOSA,,Spelling,,No,Yes
lake.us,DALEA SP.,DALEA CANDIDA,,,,No,Yes
lake.us,MELILOTUS ALBUS,MELILOTUS SP.,,,,No,Yes
lake.us,MELILOTUS OFFICINALIS,MELILOTUS SP.,,,,No,Yes
lake.us,SOLANUM SP.,SOLANUM AMERICANUM,,,,No,Yes
lancaster.uk,,,no changes,,,Yes,No
look.us,UNKNOWN APIACEAE SP.,ANGELICA GENUFLEXA,,,,No,Yes
look.us,UNKNOWN BRASSICACEAE SP.,ERYSIMUM CAPITATUM,,,,No,Yes
look.us,UNKNOWN CARYOPHYLLACEAE SP.,MOEHRINGIA LATERIFLORA,,,,No,Yes
look.us,CAREX HOODII,CAREX PENSYLVANICA,,,,No,Yes
look.us,GALIUM SP.,GALIUM OREGANUM,,,,No,Yes
look.us,UNKNOWN ASTERACEAE SP.,ERIGERON ALICEAE,,assign to dominant taxon of Family,,No,Yes
marc.ar,,,striking absence of Cyperaceae in pretreatment,,,Yes,No
marc.ar,,,striking absence of Juncaceae in pretreatment,,,Yes,No
marc.ar,MEDICAGO MINIMA,MEDICAGO LUPULINA,,,,No,Yes
marc.ar,UNKNOWN GRASS ,BROMUS CATHARTICUS,,Spelling; assign to dominant taxon of Family,,No,Yes
marc.ar,UNKNOWN GRASS,BROMUS CATHARTICUS,,assign to dominant taxon of Family,,No,Yes
mcla.us,BRODIAEA SP.,DICHELOSTEMMA CAPITATUM,,,,No,Yes
mcla.us,TRITELEIA LAXA,DICHELOSTEMMA CAPITATUM,,,,No,Yes
mcla.us,TRITELEIA SP.,DICHELOSTEMMA CAPITATUM,,,,No,Yes
mcla.us,UNKNOWN LILIACEAE,CALOCHORTUS VENUSTUS,,,,No,Yes
mcla.us,CENTAUREA MELITENSIS,CENTAUREA SP.,,,,No,Yes
mcla.us,CENTAUREA SOLSTITIALIS,CENTAUREA SP.,,,,No,Yes
mcla.us,LUPINUS BICOLOR,LUPINUS SP.,,,,No,Yes
mcla.us,LUPINUS NANUS,LUPINUS SP.,,,,No,Yes
mcla.us,LUPINUS SUCCULENTUS,LUPINUS SP.,,,,No,Yes
mcla.us,TRIFOLIUM SP.,TRIFOLIUM FUCATUM,,,,No,Yes
mcla.us,AVENA BARBATA,AVENA FATUA,,,,No,Yes
mcla.us,POA SP.,POA SECUNDA,,,,No,Yes
mcla.us,UNKNOWN GRASS,POA SECUNDA,,,,No,Yes
mcla.us,UNKNOWN BRASSICACEAE,ATHYSANUS PUSILLUS,,assign to dominant taxon of Family,,No,Yes
mcla.us,UNKNOWN ASTERACEAE,CENTAUREA SP.,,assign to dominant taxon of Family,,No,Yes
msla.us,ANTENNARIA SP.,ANTENNARIA MICROPHYLLA,plot 4,Inconsistent identification across years,,No,Yes
msla.us,ANTENNARIA ROSEA,ANTENNARIA MICROPHYLLA,plot 26,Inconsistent identification across years,,No,Yes
msla_2.us,ANTENNARIA SP.,ANTENNARIA PARVIFOLIA,plot 11; Antennaria dimorpha also present,,,No,Yes
