site_code,Taxon,NewTaxon,Notes,Reason,Apply,New_Family,New_local_provenance,New_local_lifeform,New_local_lifespan,New_functional_group
arch.us,CARPHEPHORUS CARPHEPHORUS,CARPHEPHORUS SP. (arch.us),,No congeners recorded,Yes,,,,,
arch.us,SOLIDAGO SP. (arch.us),SOLIDAGO FISTULOSA,,No congeners recorded,Yes,,,,,
arch.us,CYPERUS SP. (arch.us),CYPERUS RETRORSUS,"same plots, same year",no changes,No,,,,,
arch.us,RHYNCHOSPORA SP. (arch.us),RHYNCHOSPORA FILIFOLIA,"plots 28, 29",Inconsistent identification across years,Yes,,,,,
arch.us,SCLERIA CILIATA,SCLERIA SP. (arch.us),,Aggregate at genus level,Yes,,,,,
arch.us,SCLERIA PAUCIFLORA,SCLERIA SP. (arch.us),,Aggregate at genus level,Yes,,,,,
arch.us,SCLERIA RETICULARIS,SCLERIA SP. (arch.us),,Aggregate at genus level,Yes,,,,,
arch.us,UNKNOWN CYPERACEAE SP. (arch.us),ELEOCHARIS BALDWINII,,Assign to dominant taxon in Family,Yes,,,,,
arch.us,UNKNOWN FORB SP. (arch.us),PITYOPSIS GRAMINIFOLIA,,Assign to dominant forb taxon,Yes,Compositae,,,,
arch.us,LUDWIGIA ALATA,LUDWIGIA SP. (arch.us),,Inconsistent identification across years,Yes,,,,,
arch.us,LUDWIGIA CURTISSII,LUDWIGIA SP. (arch.us),,Inconsistent identification across years,Yes,,,,,
arch.us,LUDWIGIA MARITIMA,LUDWIGIA SP. (arch.us),,Inconsistent identification across years,Yes,,,,,
arch.us,LUDWIGIA SP. (arch.us),,,Update species characteristics,Yes,,NAT,FORB,PERENNIAL,FORB
arch.us,ANDROPOGON SP. (arch.us),ANDROPOGON VIRGINICUS,"same plots, same year",no changes,No,,,,,
arch.us,PANICUM AGROSTOIDES,PANICUM SP. (arch.us),"same plot, same year",no changes,No,,,,,
arch.us,PANICUM HEMITOMON,PANICUM SP. (arch.us),"same plot, same year",no changes,No,,,,,
arch.us,PANICUM LATIFOLIUM,PANICUM SP. (arch.us),,Inconsistent identification across years,Yes,,,,,
arch.us,PANICUM PORTORICENSE,PANICUM SP. (arch.us),,Inconsistent identification across years,Yes,,,,,
arch.us,UNKNOWN POACEAE SP. (arch.us),SCHIZACHYRIUM RHIZOMATUM,,Assign to dominant taxon in Family,Yes,,,,,
arch.us,SMILAX BONA-NOX,SMILAX SP. (arch.us),"same plot, same year",no changes,No,,,,,
azi.cn,ANAPHALIS LACTEA,ANAPHALIS HANCOCKII,"different plots, different years",no changes,No,,,,,
azi.cn,ARTEMISIA MONGOLICA,ARTEMISIA SIEVERSIANA,,Inconsistent identification across years,Yes,,,,,
azi.cn,SAUSSUREA SP. (azi.cn),SAUSSUREA NEOFRANCHETII,,Assign to dominant taxon in genus,Yes,,,,,
azi.cn,TIBETIA SP. (azi.cn),GUELDENSTAEDTIA VERNA,are these the same?,no changes,No,,,,,
azi.cn,UNKNOWN SP. (azi.cn),ELYMUS NUTANS,,Assign to dominant taxon,Yes,Poaceae,,,,
azi.cn,VIOLA STRIATELLA,VIOLA SP. (azi.cn),,No congeners recorded,Yes,,,,,
azi.cn,VIOLA SP. (azi.cn),,,Update species characteristics,Yes,,NAT,HERB,PERENNIAL,FORB
azitwo.cn,SAUSSUREA HIERACIOIDES,SAUSSUREA BRUNNEOPILOSA,S. brunneopilosa not recorded in 2020,no changes,No,,,,,
azitwo.cn,OXYTROPIS OCHROCEPHALA,OXYTROPIS KANSUENSIS,O. kansuensis not recorded in 2020,Inconsistent identification across years,Yes,,,,,
azitwo.cn,LOMATOGONIUM CARINTHIACUM,LOMATOGONIUM ROTATUM,,Inconsistent identification across years,Yes,,,,,
azitwo.cn,ELSHOLTZIA DENSA,ELSHOLTZIA CILIATA,,Inconsistent identification across years,Yes,,,,,
azitwo.cn,SCUTELLARIA REHDERIANA,SCUTELLARIA BAICALENSIS,,Inconsistent identification across years,Yes,,,,,
azitwo.cn,UNKNOWN SP. (azitwo.cn),ELYMUS NUTANS,,Assign to dominant taxon,Yes,Poaceae,,,,
azitwo.cn,GALIUM APARINE,GALIUM SPURIUM,G. aparine only in 2020,Inconsistent identification across years,Yes,,,,,
azitwo.cn,GALIUM VERUM,GALIUM SPURIUM,"G. verum only in 2018, 2019",Inconsistent identification across years,Yes,,,,,
badlau.de,VICIA SATIVA SSP. NIGRA,VICIA SATIVA,,Aggregate at species level,Yes,,,,,
badlau.de,UNKNOWN FORB SP. (badlau.de),CREPIS CAPILLARIS,annual forb according to characteristics,Assign to dominant forb taxon (annual),Yes,Compositae,,,,
badlau.de,UNKNOWN SP. (badlau.de),ACER PSEUDOPLATANUS,tree according to characteristics,Assign to dominant woody taxon,Yes,Sapindaceae,,,,
barta.us,UNKNOWN FORB SP. (barta.us),AMBROSIA PSILOSTACHYA,,Assign to dominant forb taxon,Yes,Compositae,,,,
barta.us,UNKNOWN SP. (barta.us),SCHIZACHYRIUM SCOPARIUM,,Assign to dominant taxon,Yes,Poaceae,,,,
bayr.de,QUERCUS SP. (bayr.de),QUERCUS ROBUR,only one species recorded in family to date,Inconsistent identification across years,Yes,,,,,
bayr.de,POA ANGUSTIFOLIA,POA PRATENSIS,"different plots, different years",no changes,No,,,,,
bayr.de,AMELANCHIER SP. (bayr.de),AMELANCHIER LAMARCKII,,No congeners recorded,Yes,,,,,
bayr.de,CRATAEGUS SP. (bayr.de),CRATAEGUS MONOGYNA,,Inconsistent identification across years,Yes,,,,,
bayr.de,PRUNUS SP. (bayr.de),PRUNUS SPINOSA,"same plot, same year",no changes,No,,,,,
bldr.us,PODOSPERMUM LACINIATUM,SCORZONERA LACINIATA,,Synonyms,Yes,,,,,
bldr.us,PODOSPERMUM SCORZONEROIDES,SCORZONERA LACINIATA,,Synonyms,Yes,,,,,
bldr.us,PODOSPERMUM SP. (bldr.us),SCORZONERA LACINIATA,,No congeners recorded,Yes,,,,,
bldr.us,MEDICAGO SP. (bldr.us),MEDICAGO LUPULINA,,No congeners recorded,Yes,,,,,
bldr.us,TRIFOLIUM SP. (bldr.us),TRIFOLIUM PRATENSE,"same plot, same year",no changes,No,,,,,
bldr.us,UNKNOWN SP. (bldr.us),ERODIUM CICUTARIUM,,Assign to dominant taxon,Yes,Geraniaceae,,,,
bldr.us,UNKNOWN POACEAE SP. (bldr.us),SPOROBOLUS AIROIDES,,Assign to dominant taxon in Family,Yes,Poaceae,,,,
bnbt.us,SYMPHYOTRICHUM PILOSUM,SYMPHYOTRICHUM ERICOIDES,confirmed with Brent Mortensen,Inconsistent identification across years,Yes,,,,,
bnbt.us,UNKNOWN SP. (bnbt.us),ANDROPOGON GERARDII,indeterminate lifespan according to characteristics,Assign to dominant taxon,Yes,Poaceae,,,,
bnbt.us,PERSICARIA MACULOSA,PERSICARIA LAPATHIFOLIA,confirmed with Brent Mortensen,Inconsistent identification across years,Yes,,,,,
bnbt.us,TYPHA ANGUSTIFOLIA,TYPHA GLAUCA,one taxon present per year; confirmed with Brent Mortensen,Inconsistent identification across years,Yes,,,,,
bnbt.us,ULMUS SP. (bnbt.us),ULMUS PUMILA,one taxon present per year; confirmed with Brent Mortensen,No congeners recorded,Yes,,,,,
bnch.us,UNKNOWN CARYOPHYLLACEAE SP. (bnch.us),MOEHRINGIA LATERIFLORA,,Assign to dominant taxon in Family,Yes,,,,,
bnch.us,ASTER SP. (bnch.us),EUCEPHALUS LEDOPHYLLUS,"same plot, different years",Inconsistent identification across years,Yes,,,,,
bnch.us,SYMPHYOTRICHUM SPATHULATUM,EUCEPHALUS LEDOPHYLLUS,"same plot, different years",Inconsistent identification across years,Yes,,,,,
bnch.us,CAREX HOODII,CAREX PENSYLVANICA,name switches from 2015 to 2016,Inconsistent identification across years,Yes,,,,,
bnch.us,VICIA SATIVA,VICIA AMERICANA,,Inconsistent identification across years,Yes,,,,,
bnch.us,UNKNOWN FORB SP. (bnch.us),PHLOX DIFFUSA,,Assign to dominant forb taxon,Yes,Polemoniaceae,,,,
bnch.us,,,No Danthonia in year_trt == 3?,no changes,No,,,,,
bnch.us,ELYMUS GLAUCUS,ELYMUS REPENS,"some switches among years, but also some co-occurrences",no changes,No,,,,,
bnch.us,UNKNOWN POACEAE SP. (bnch.us),FESTUCA IDAHOENSIS,,Assign to dominant taxon in Family,Yes,,,,,
bnch.us,UNKNOWN POLEMONIACEAE SP. (bnch.us),MICROSTERIS GRACILIS,all in 2017; NewTaxon not identified that year,Inconsistent identification across years,Yes,,,,,
bnch.us,POLYGONUM SP. (bnch.us),POLYGONUM DOUGLASII,only one species recorded in family to date,Inconsistent identification across years,Yes,,,,,
bogong.au,ERIGERON BELLIDIOIDES,ERIGERON SP. (bogong.au),Erigeron spp. not differentiated before 2014,Inconsistent identification across years,Yes,,,,,
bogong.au,ERIGERON NITIDUS,ERIGERON SP. (bogong.au),Erigeron spp. not differentiated before 2014,Inconsistent identification across years,Yes,,,,,
bogong.au,MICROSERIS SP. (bogong.au),MICROSERIS LANCEOLATA,,Inconsistent identification across years,Yes,,,,,
bogong.au,LEUCOPOGON MONTANUS,ACROTHAMNUS MONTANUS,name change,Synonyms,Yes,,,,,
bogong.au,MELICYTUS DENTATUS,HYMENANTHERA DENTATA,,Synonyms,Yes,,,,,
burrawan.au,,,no changes,no changes,No,,,,,
burren.ie,DACTYLORHIZA FUCHSII,DACTYLORHIZA SP. (burren.ie),,Inconsistent identification across years,Yes,,,,,
burren.ie,DACTYLORHIZA MACULATA,DACTYLORHIZA SP. (burren.ie),,Inconsistent identification across years,Yes,,,,,
burren.ie,UNKNOWN ORCHIDACEAE SP.,DACTYLORHIZA SP. (burren.ie),,Assign to dominant taxon in Family,Yes,,,,,
burren.ie,ROSA XANTHINA,ROSA SPINOSISSIMA,,Inconsistent identification across years,Yes,,,,,
burren.ie,PEDICULARIS PALUSTRIS,PEDICULARIS SYLVATICA,"plot 28; same plot, different years",Inconsistent identification across years,Yes,,,,,
cbgb.us,CIRSIUM ARVENSE,CIRSIUM SP. (cbgb.us),not distinguished in yrs 0-3,Inconsistent identification across years,Yes,,,,,
cbgb.us,CIRSIUM VULGARE,CIRSIUM SP. (cbgb.us),not distinguished in yrs 0-3,Inconsistent identification across years,Yes,,,,,
cbgb.us,CIRSIUM SP. (cbgb.us),,,Update species characteristics,Yes,,INT,FORB,PERENNIAL,FORB
cbgb.us,HELIANTHUS SP. (cbgb.us),HELIANTHUS GROSSESERRATUS,plot 52; H. grosseserratus in plot in other years,Inconsistent identification across years,Yes,,,,,
cbgb.us,SOLIDAGO SP. (cbgb.us),SOLIDAGO CANADENSIS,plot 4; S. canadensis in plot in other years,Inconsistent identification across years,Yes,,,,,
cbgb.us,SYMPHYOTRICHUM SP. (cbgb.us),SYMPHYOTRICHUM PILOSUM,"plots 13, 20",No congeners recorded,Yes,,,,,
cbgb.us,MELILOTUS ALBUS,MELILOTUS SP. (cbgb.us),,Inconsistent identification across years,Yes,,,,,
cbgb.us,MELILOTUS OFFICINALIS,MELILOTUS SP. (cbgb.us),,Inconsistent identification across years,Yes,,,,,
cbgb.us,UNKNOWN SP. (cbgb.us),SCHIZACHYRIUM SCOPARIUM,,Assign to dominant taxon,Yes,Poaceae,,,,
cbgb.us,UNKNOWN FORB SP. (cbgb.us),SOLIDAGO CANADENSIS,forb according to characteristics; new Taxon code,Assign to dominant forb taxon,Yes,Compositae,,,,
cbgb.us,UNKNOWN POACEAE SP. (cbgb.us),SCHIZACHYRIUM SCOPARIUM,,Assign to dominant taxon in Family,Yes,,,,,
cbgb.us,GALIUM SP. (cbgb.us),GALIUM CONCINNUM,,No congeners recorded,Yes,,,,,
cbgb.us,SOLANUM SP. (cbgb.us),SOLANUM CAROLINENSE,,No congeners recorded,Yes,,,,,
cdcr.us,CHENOPODIUM SP. (cdcr.us),CHENOPODIUM ALBUM,,No congeners recorded,Yes,,,,,
cdcr.us,ASCLEPIAS SP. (cdcr.us),ASCLEPIAS SYRIACA,A. syriaca present before and after,Inconsistent identification across years,Yes,,,,,
cdcr.us,SILENE LATIFOLIA,LYCHNIS LATIFOLIA SSP. ALBA,,Synonyms,Yes,,,,,
cdcr.us,ASTER SP. (cdcr.us),SYMPHYOTRICHUM BOREALE,,Synonyms,Yes,,,,,
cdcr.us,ERIGERON CANADENSIS,CONYZA CANADENSIS,,Synonyms,Yes,,,,,
cdcr.us,ERIGERON SP. (cdcr.us),ERIGERON STRIGOSUS,,No congeners recorded,Yes,,,,,
cdcr.us,RUDBECKIA SP. (cdcr.us),RUDBECKIA HIRTA,,No congeners recorded,Yes,,,,,
cdcr.us,ECHINACEA SEROTINA,RUDBECKIA HIRTA,Adam Clark: not present in 30 years of 2000 plots in old field,Common misidentification,Yes,,,,,
cdcr.us,SOLIDAGO SP. (cdcr.us),SOLIDAGO MISSOURIENSIS,S. missouriensis common but never co-listed,Common misidentification,Yes,,,,,
cdcr.us,CAREX SP.,CAREX SCOPARIA,usually characterized as genus,No congeners recorded,Yes,,,,,
cdcr.us,CAREX SP. (cdcr.us),CAREX SCOPARIA,usually characterized as genus,No congeners recorded,Yes,,,,,
cdcr.us,CYPERUS FILICULMIS,CYPERUS SP. (cdcr.us),generally one species present per year; usually characterized as genus,Aggregate at genus level,Yes,,,,,
cdcr.us,CYPERUS GRAYI,CYPERUS SP. (cdcr.us),generally one species present per year; usually characterized as genus,Aggregate at genus level,Yes,,,,,
cdcr.us,CYPERUS LUPULINUS,CYPERUS SP. (cdcr.us),generally one species present per year; usually characterized as genus,Aggregate at genus level,Yes,,,,,
cdcr.us,CYPERUS SCHWEINITZII,CYPERUS SP. (cdcr.us),generally one species present per year; usually characterized as genus,Aggregate at genus level,Yes,,,,,
cdcr.us,CYPERUS SP. (cdcr.us),,,Update species characteristics,Yes,,NAT,GRAMINOID,PERENNIAL,GRAMINOID
cdcr.us,UNKNOWN FABACEAE SP. (cdcr.us),TRIFOLIUM REPENS,single record in 2014; co-occurs with Lespedeza capitata; T. repens not recorded in that year,Common misidentification,Yes,,,,,
cdcr.us,UNKNOWN LAMIACEAE SP. (cdcr.us),MONARDA FISTULOSA,2 records in 2013; no other genera from family recorded,No congeners recorded,Yes,,,,,
cdcr.us,UNKNOWN FORB SP.,SOLIDAGO MISSOURIENSIS,,Assign to dominant forb taxon,Yes,Compositae,,,,
cdcr.us,UNKNOWN FORB SP. (cdcr.us),SOLIDAGO MISSOURIENSIS,,Assign to dominant forb taxon,Yes,Compositae,,,,
cdcr.us,UNKNOWN FORB SP.2 (cdcr.us),SOLIDAGO MISSOURIENSIS,forb according to characteristics; new Taxon code,Assign to dominant forb taxon,Yes,Compositae,,,,
cdcr.us,UNKNOWN SP. (cdcr.us),ANDROPOGON GERARDII,,Assign to dominant taxon,Yes,Poaceae,,,,
cdcr.us,UNKNOWN WOODY SP. (cdcr.us),POPULUS TREMULOIDES,woody according to characteristics; new Taxon code,Assign to dominant woody taxon,Yes,Salicaceae,,,,
cdcr.us,PINUS SP. (cdcr.us),PINUS STROBUS,,No congeners recorded,Yes,,,,,
cdcr.us,,,no Elymus repens in 2009?,no changes,No,,,,,
cdcr.us,PANICUM SP. (cdcr.us),PANICUM ACUMINATUM,1 record in 2013; P. acuminatum most common congener that it doesn't co-occur with,Common misidentification,Yes,,,,,
cdcr.us,SETARIA SP. (cdcr.us),SETARIA PUMILA,often S. pumila in years before and after,No congeners recorded,Yes,,,,,
cdcr.us,UNKNOWN POACEAE SP. (cdcr.us),SETARIA PUMILA,Adam Clark: most likely Setaria or Digitaria,Common misidentification,Yes,,,,,
cdcr.us,POTENTILLA ARGENTEA,POTENTILLA NORVEGICA,,Inconsistent identification across years,Yes,,,,,
cdcr.us,POTENTILLA RECTA,POTENTILLA NORVEGICA,,Inconsistent identification across years,Yes,,,,,
cdcr.us,POTENTILLA SIMPLEX,POTENTILLA NORVEGICA,,Inconsistent identification across years,Yes,,,,,
cdcr.us,RUBUS SP. (cdcr.us),RUBUS IDAEUS,,No congeners recorded,Yes,,,,,
cdcr.us,POPULUS ALBA,POPULUS TREMULOIDES,1 record in 2020,Common misidentification,Yes,,,,,
cdcr.us,POPULUS DELTOIDES,POPULUS TREMULOIDES,P. tremuloides in years before and after,Common misidentification,Yes,,,,,
cdpt.us,UNKNOWN SP. (cdpt.us),CAREX FILIFOLIA,,Assign to dominant taxon,Yes,Cyperaceae,,,,
cedr.us,LYCHNIS LATIFOLIA SSP. ALBA,SILENE LATIFOLIA,,Synonyms,Yes,,,,,
cedr.us,CAREX SP. (cedr.us),CAREX SCOPARIA,,Inconsistent identification across years,Yes,,,,,
cedr.us,CYPERUS FILICULMIS,CYPERUS SP. (cedr.us),,Inconsistent identification across years,Yes,,,,,
cedr.us,CYPERUS SCHWEINITZII,CYPERUS SP. (cedr.us),,Inconsistent identification across years,Yes,,,,,
cedr.us,CYPERUS SP. (cedr.us),,,Update species characteristics,Yes,,NAT,GRAMINOID,PERENNIAL,GRAMINOID
cedr.us,VICIA SP. (cedr.us),VICIA VILLOSA,1 record in 2020; same plot as Vicia villosa so assumed different taxon,no changes,No,,,,,
cedr.us,UNKNOWN FORB SP. (cedr.us),SOLIDAGO GIGANTEA,,Assign to dominant forb taxon,Yes,Compositae,,,,
cedr.us,POTENTILLA SIMPLEX,POTENTILLA RECTA,,Inconsistent identification across years,Yes,,,,,
cereep.fr,,,why minimum value of 2.5 in year 0?,no changes,No,,,,,
cereep.fr,SILENE LATIFOLIA SSP. ALBA,SILENE LATIFOLIA,,Aggregate at species level,Yes,,,,,
cereep.fr,CREPIS SP. (cereep.fr),CREPIS CAPILLARIS,1 record in 2016; same plot-year,no changes,No,,,,,
cereep.fr,,,why so much Hypochaeris in year 0?,no changes,No,,,,,
cereep.fr,TARAXACUM SP. (cereep.fr),TARAXACUM CAMPYLODES,,No congeners recorded,Yes,,,,,
cereep.fr,TRIFOLIUM SP. (cereep.fr),TRIFOLIUM CAMPESTRE,usually T. campestre recorded in other yrs but not at same time as T. sp,Inconsistent identification across years,Yes,,,,,
cereep.fr,VICIA CRACCA,VICIA SP. (cereep.fr),not V. hirsuta or V. sativa,Inconsistent identification across years,Yes,,,,,
cereep.fr,VICIA TETRASPERMA,VICIA SP. (cereep.fr),not V. hirsuta or V. sativa,Inconsistent identification across years,Yes,,,,,
cereep.fr,ERODIUM SP. (cereep.fr),ERODIUM CICUTARIUM,,No congeners recorded,Yes,,,,,
cereep.fr,GERANIUM SP. (cereep.fr),GERANIUM DISSECTUM,,Assign to dominant taxon in Family,Yes,,,,,
cereep.fr,HYPERICUM MACULATUM SSP. OBTUSIUSCULUM,HYPERICUM PERFORATUM,"same plot, same year",no changes,No,,,,,
cereep.fr,HYPERICUM SP. (cereep.fr),HYPERICUM PERFORATUM,,Assign to dominant taxon in genus,Yes,,,,,
cereep.fr,UNKNOWN FORB SP. (cereep.fr),RUMEX ACETOSA,,Assign to dominant forb taxon,Yes,Polygonaceae,,,,
cereep.fr,UNKNOWN SP. (cereep.fr),CAREX DIVULSA,,Assign to dominant taxon,Yes,Cyperaceae,,,,
cereep.fr,AGROSTIS SP. (cereep.fr),AGROSTIS CAPILLARIS,,Assign to dominant taxon in genus,Yes,,,,,
cereep.fr,ARRHENATHERUM ELATIUS SSP. BULBOSUM,ARRHENATHERUM ELATIUS,,Aggregate at species level,Yes,,,,,
cereep.fr,POA PRATENSIS SSP. LATIFOLIA,POA PRATENSIS,,Aggregate at species level,Yes,,,,,
cereep.fr,POA SP. (cereep.fr),POA PRATENSIS,,Assign to dominant taxon in genus,Yes,,,,,
cereep.fr,PRUNUS SP. (cereep.fr),PRUNUS SPINOSA,"same plot, same year",no changes,No,,,,,
chilcas.ar,CAREX SP. (chilcas.ar),CAREX BONARIENSIS,rarely present in same plot-year,Inconsistent identification across years,Yes,,,,,
chilcas.ar,CYPERUS SP. (chilcas.ar),CYPERUS ERAGROSTIS,,Assign to dominant taxon in genus,Yes,,,,,
chilcas.ar,UNKNOWN SP. (chilcas.ar),FESTUCA ARUNDINACEA,,Assign to dominant taxon,Yes,Poaceae,,,,
comp.pt,,,plot 14 only monitored in 2012?,no changes,No,,,,,
comp.pt,CREPIS CAPILLARIS,CREPIS SP. (comp.pt),species not distinguished in 2014,Aggregate at genus level,Yes,,,,,
comp.pt,CREPIS VESICARIA,CREPIS SP. (comp.pt),species not distinguished in 2014,Aggregate at genus level,Yes,,,,,
comp.pt,CREPIS SP. (comp.pt),,,Update species characteristics,Yes,,NAT,HERB,NULL,FORB
comp.pt,HYPOCHAERIS SP. (comp.pt),HYPOCHAERIS GLABRA,,No congeners recorded,Yes,,,,,
comp.pt,LEONTODON TARAXACOIDES,HYPOCHAERIS GLABRA,,Inconsistent identification across years,Yes,,,,,
comp.pt,UNKNOWN ASTERACEAE SP. (comp.pt),TOLPIS BARBATA,,Assign to dominant taxon in Family,Yes,,,,,
comp.pt,TRIFOLIUM SP. (comp.pt),TRIFOLIUM ARVENSE,,Assign to dominant taxon in genus,Yes,,,,,
comp.pt,ERODIUM AETHIOPICUM,ERODIUM SP. (comp.pt),species not distinguished in 2013-2017,Aggregate at genus level,Yes,,,,,
comp.pt,ERODIUM BOTRYS,ERODIUM SP. (comp.pt),species not distinguished in 2013-2017,Aggregate at genus level,Yes,,,,,
comp.pt,ERODIUM CICUTARIUM,ERODIUM SP. (comp.pt),species not distinguished in 2013-2017,Aggregate at genus level,Yes,,,,,
comp.pt,ERODIUM MALACOIDES,ERODIUM SP. (comp.pt),species not distinguished in 2013-2017,Aggregate at genus level,Yes,,,,,
comp.pt,ERODIUM MOSCHATUM,ERODIUM SP. (comp.pt),species not distinguished in 2013-2017,Aggregate at genus level,Yes,,,,,
comp.pt,ERODIUM SP. (comp.pt),,,Update species characteristics,Yes,,NAT,HERB,NULL,FORB
comp.pt,OROBANCHE SP.,OROBANCHE MINOR,never co-occur in same plot-year,No congeners recorded,Yes,,,,,
comp.pt,UNKNOWN POACEAE SP. (comp.pt),AGROSTIS POURRETII,Unknown mostly in 2017; no Agrostis pourretii that year,Inconsistent identification across years,Yes,,,,,
comp.pt,VULPIA SP. (comp.pt),VULPIA BROMOIDES,,Assign to dominant taxon in genus,Yes,,,,,
cowi.ca,UNKNOWN SP. (cowi.ca),PLANTAGO LANCEOLATA,perennial forb according to characteristics,Assign to dominant forb taxon (perennial),Yes,Plantaginaceae,,,,
cowi.ca,CRATAEGUS SP. (cowi.ca),CRATAEGUS MONOGYNA,,No congeners recorded,Yes,,,,,
cowi.ca,,,Bellis perennis == Leucanthemum vulgare?,no changes,No,,,,,
doane.us,SOLIDAGO SP. (doane.us),SOLIDAGO CANADENSIS,,No congeners recorded,Yes,,,,,
doane.us,UNKNOWN FORB SP. (doane.us),SILPHIUM LACINIATUM,,Assign to dominant forb taxon,Yes,Compositae,,,,
doane.us,UNKNOWN POACEAE SP. (doane.us),ANDROPOGON GERARDII,,Assign to dominant taxon in Family,Yes,,,,,
doane.us,ROSA SP. (doane.us),ROSA ARKANSANA,IDed to species in 2022-2023,No congeners recorded,Yes,,,,,
doane.us,PHYSALIS VIRGINIANA,PHYSALIS LONGIFOLIA,,Inconsistent identification across years,Yes,,,,,
drake.za,HELICHRYSUM SP. (drake.za),HELICHRYSUM HERBACEUM,same plot and year as Helichrysum glomeratum and Helichrysum pallidum,Inconsistent identification across years,Yes,,,,,
elliot.us,CROTON SETIGER,CROTON SETIGERUS,,Spelling,Yes,,,,,
elliot.us,JUNCUS SP. (elliot.us),JUNCUS DUBIUS,,No congeners recorded,Yes,,,,,
elliot.us,UNKNOWN SP. (elliot.us),BROMUS MADRITENSIS,,Assign to dominant taxon,Yes,Poaceae,,,,
elliot.us,LOLIUM MULTIFLORUM,LOLIUM PERENNE,"looks like replacement, but there's a year with neither in between",no changes,No,,,,,
elliot.us,LYSIMACHIA ARVENSIS,ANAGALLIS ARVENSIS,,Synonyms,Yes,,,,,
ethamc.au,UNKNOWN SP. (ethamc.au),PTILOTUS POLYSTACHYUS,,Assign to dominant taxon,Yes,Amaranthaceae,,,,
ethass.au,UNKNOWN FORB SP. (ethass.au),PTILOTUS POLYSTACHYUS,,Assign to dominant forb taxon,Yes,Amaranthaceae,,,,
ethass.au,UNKNOWN SP. (ethass.au),TRIODIA BASEDOWII,,Assign to dominant taxon,Yes,Poaceae,,,,
frue.ch,POA TRIVIALIS,,No Poa trivialis in 2011,no changes,No,,,,,
gilb.za,UNKNOWN CYPERACEAE SP. (gilb.za),CYPERUS SP.,co-occur in same plot-year multiple times,no changes,No,,,,,
gilb.za,PEARSONIA SP. (gilb.za),PEARSONIA GRANDIFOLIA,"plot 29; same plot, same year",no changes,No,,,,,
gilb.za,SEBAEA FILIFORMIS,SEBAEA SEDOIDES var. SCHOENLANDII,very different plots in different years,no changes,No,,,,,
gilb.za,HYPOXIS SP. (gilb.za),HYPOXIS GERRARDII,co-occur in same plot-year multiple times,no changes,No,,,,,
gilb.za,DIERAMA SP. (gilb.za),DIERAMA INSIGNE,co-occur (plot 22 only),no changes,No,,,,,
